,AATS1i,ATSC4d,ATSC4s,ATSC4pe,ATSC7are,ATSC3i,MATS3s,GATS3v,GATS1i,VR2_Dzm,Xpc-5dv,AXp-1dv,Mv,SIC4,EState_VSA7,AMID_C,GGI7
min,138.40525408832804,-57.0,-272.82726157984257,-15.823594517621927,-11.110285467127978,-68.56010175529025,-1.403220145101465,0.7547529200285739,0.5184274009048223,1.4116246835059802,0.0,0.2467251684559313,0.5367059449811331,0.5929809818837098,0.0,0.5276060990360427,0.0
max,165.99228336506002,13.51903114186851,134.24674704440596,6.461546539792404,6.449999999999994,63.82466932139834,0.2715846666105709,1.61696515549453,2.225955503224434,10.457498945438504,22.331642162313365,0.5745564944495606,0.8367495420313456,1.0000000000000004,78.99324839315241,1.9469704805474684,4.927260487528344
