,Inchi,Inchi_no_stereo,1,3,4,5,7,8,9,10,13,14,16,38,39,40,41,42,43,44,46,47,49,50
Cn1c(=O)c2c(ncn2C)n(C)c1=O,"InChI=1S/C8H10N4O2/c1-10-4-9-6-5(10)7(13)12(3)8(14)11(6)2/h4H,1-3H3","InChI=1S/C8H10N4O2/c1-10-4-9-6-5(10)7(13)12(3)8(14)11(6)2/h4H,1-3H3",0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
CC(=O)O[C@@H]1C[C@]2(C)[C@H](CC[C@H](O)[C@]2(C)O)[C@@](C=O)(C[C@@H](O)c2ccoc2)[C@@H]1C,"InChI=1S/C22H32O7/c1-13-17(29-14(2)24)10-20(3)18(5-6-19(26)21(20,4)27)22(13,12-23)9-16(25)15-7-8-28-11-15/h7-8,11-13,16-19,25-27H,5-6,9-10H2,1-4H3/t13-,16-,17-,18+,19+,20-,21+,22-/m1/s1","InChI=1S/C22H32O7/c1-13-17(29-14(2)24)10-20(3)18(5-6-19(26)21(20,4)27)22(13,12-23)9-16(25)15-7-8-28-11-15/h7-8,11-13,16-19,25-27H,5-6,9-10H2,1-4H3",1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
O=c1ccc2ccccc2o1,InChI=1S/C9H6O2/c10-9-6-5-7-3-1-2-4-8(7)11-9/h1-6H,InChI=1S/C9H6O2/c10-9-6-5-7-3-1-2-4-8(7)11-9/h1-6H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(=O)OC(C)(C)/C=C/C(=O)[C@](C)(O)[C@@H]1[C@H](O)C[C@]2(C)[C@H]3CC=C4[C@H](C[C@H](O)C(=O)C4(C)C)[C@@]3(C)C(=O)C[C@]12C,"InChI=1S/C32H46O8/c1-17(33)40-27(2,3)13-12-23(36)32(9,39)25-21(35)15-29(6)22-11-10-18-19(14-20(34)26(38)28(18,4)5)31(22,8)24(37)16-30(25,29)7/h10,12-13,19-22,25,34-35,39H,11,14-16H2,1-9H3/b13-12+/t19-,20-,21+,22+,25+,29+,30+,31+,32-/m0/s1","InChI=1S/C32H46O8/c1-17(33)40-27(2,3)13-12-23(36)32(9,39)25-21(35)15-29(6)22-11-10-18-19(14-20(34)26(38)28(18,4)5)31(22,8)24(37)16-30(25,29)7/h10,12-13,19-22,25,34-35,39H,11,14-16H2,1-9H3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=C[C@H](O)C#CC#C[C@H](O)/C=C/CCCCCCC,"InChI=1S/C17H24O2/c1-3-5-6-7-8-9-10-14-17(19)15-12-11-13-16(18)4-2/h4,10,14,16-19H,2-3,5-9H2,1H3/b14-10+/t16-,17+/m0/s1","InChI=1S/C17H24O2/c1-3-5-6-7-8-9-10-14-17(19)15-12-11-13-16(18)4-2/h4,10,14,16-19H,2-3,5-9H2,1H3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
COc1ccc2c(c1OC)C(=O)O[C@@H]2[C@@H]1c2c(cc3c(c2OC)OCO3)CCN1C,"InChI=1S/C22H23NO7/c1-23-8-7-11-9-14-20(29-10-28-14)21(27-4)15(11)17(23)18-12-5-6-13(25-2)19(26-3)16(12)22(24)30-18/h5-6,9,17-18H,7-8,10H2,1-4H3/t17-,18-/m0/s1","InChI=1S/C22H23NO7/c1-23-8-7-11-9-14-20(29-10-28-14)21(27-4)15(11)17(23)18-12-5-6-13(25-2)19(26-3)16(12)22(24)30-18/h5-6,9,17-18H,7-8,10H2,1-4H3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,"InChI=1S/C20H21NO4/c1-22-17-6-5-13(10-18(17)23-2)9-16-15-12-20(25-4)19(24-3)11-14(15)7-8-21-16/h5-8,10-12H,9H2,1-4H3","InChI=1S/C20H21NO4/c1-22-17-6-5-13(10-18(17)23-2)9-16-15-12-20(25-4)19(24-3)11-14(15)7-8-21-16/h5-8,10-12H,9H2,1-4H3",0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=C1C(=O)O[C@@H]2[C@@H]1CC/C(C)=C\CC[C@]1(C)O[C@H]21,"InChI=1S/C15H20O3/c1-9-5-4-8-15(3)13(18-15)12-11(7-6-9)10(2)14(16)17-12/h5,11-13H,2,4,6-8H2,1,3H3/b9-5-/t11-,12-,13-,15+/m1/s1","InChI=1S/C15H20O3/c1-9-5-4-8-15(3)13(18-15)12-11(7-6-9)10(2)14(16)17-12/h5,11-13H,2,4,6-8H2,1,3H3",1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
COC1=C[C@@H](C)[C@@H]2C[C@H]3OC(=O)C[C@@H]4C(C)=C(OC)C(=O)[C@@H]([C@@]2(C)C1=O)[C@@]43C,"InChI=1S/C22H28O6/c1-10-7-14(26-5)20(25)22(4)12(10)8-15-21(3)13(9-16(23)28-15)11(2)18(27-6)17(24)19(21)22/h7,10,12-13,15,19H,8-9H2,1-6H3/t10-,12+,13-,15-,19-,21+,22+/m1/s1","InChI=1S/C22H28O6/c1-10-7-14(26-5)20(25)22(4)12(10)8-15-21(3)13(9-16(23)28-15)11(2)18(27-6)17(24)19(21)22/h7,10,12-13,15,19H,8-9H2,1-6H3",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12,"InChI=1S/C9H7N7O2S/c1-15-4-14-7(16(17)18)9(15)19-8-5-6(11-2-10-5)12-3-13-8/h2-4H,1H3,(H,10,11,12,13)","InChI=1S/C9H7N7O2S/c1-15-4-14-7(16(17)18)9(15)19-8-5-6(11-2-10-5)12-3-13-8/h2-4H,1H3,(H,10,11,12,13)",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
